type,PCR,iLISI,bASW,GC,kBET,integration_method_batch,homology_method_batch,bASW_scaled,GC_scaled,kBET_scaled,PCR_scaled,iLISI_scaled,avg_score_batch,iLISI_scaled_rank,GC_scaled_rank,PCR_scaled_rank,bASW_scaled_rank,kBET_scaled_rank,avg_score_scaled_rank_batch,cASW,cLISI,ARI,NMI,iso_F1,integration_method_bio,homology_method_bio,cASW_scaled,ARI_scaled,NMI_scaled,iso_F1_scaled,cLISI_scaled,avg_score_bio,cLISI_scaled_rank,NMI_scaled_rank,ARI_scaled_rank,cASW_scaled_rank,iso_F1_scaled_rank,avg_score_scaled_rank_bio,integrated_score,integrated_score_rank,task_name,trajectory_conservation_score_batch,traj_scaled,traj_scaled_rank,batch_aggr_with_LISI,bio_aggr_with_LISI,integrated_score_aggr_with_LISI,integrated_score_aggr_rank_with_LISI,batch_aggr_no_LISI,bio_aggr_no_LISI,integrated_score_aggr_no_LISI,integrated_score_aggr_rank_no_LISI
scVI HE,0.00234673731222532,0.00343132263694156,0.8092353020072192,0.9438761535692604,0.02691254408693866,scVI,HE,0.9447834522373764,0.9250653845330314,0.12087466610352542,0.996933966636392,0.01217872102516064,0.7469143673775813,16,10,2,6,25,9,0.5490823909640312,0.999117168460164,0.4960587689155195,0.5892861911319981,0.5989513365117403,scVI,HE,0.48278659930683265,0.4417778588669098,0.4416078625667954,0.8076800539919927,0.9320811074893328,0.5434630936831326,19,24,22,8,5,18,0.6248436031609121,13,Heart_hs_xl,NA,NA,NA,0.357160411922517,0.6464991711966906,0.5307636674870212,10,0.4455926842439109,0.5583446718808223,0.5132438768260577,10
scVI O2O,0.0018634295893306,0.0032830317820085,0.8247827785915448,0.9099278549506536,0.02824170803797621,scVI,O2O,1,0.8462702631459799,0.13123305676152844,1,0.01165239542308259,0.744375829976877,17,21,1,1,24,10,0.5419844388961792,0.999132862460352,0.4396136994220567,0.6142179197524931,0.5251101398446189,scVI,O2O,0.443824446141264,0.35701606706459255,0.4897744279611046,0.6776159312824532,0.933288494248572,0.4920577181123535,18,23,24,11,8,23,0.5929849628581629,14,Heart_hs_xl,NA,NA,NA,0.35361976059030276,0.62401181207514,0.5158549914812051,12,0.4412039427923763,0.530231549478837,0.49462050680425274,13
SeuratV4 RPCA HE,0.04414218340063709,2.220446049250313e-16,0.7293216818004334,0.9392234064432368,0.04289669267471185,SeuratV4 RPCA,HE,0.6609718508434423,0.9142662049129562,0.2454417334532513,0.7317897819202005,7.880982305220704e-16,0.6381173927824626,21,13,16,15,22,18,0.5342857912182808,0.9998100187391992,0.5726860174439428,0.7419431365678102,0.41304887408352886,SeuratV4 RPCA,HE,0.4015649483133504,0.5568465963923878,0.7365316866286807,0.4802308552165549,0.9853841687240024,0.5437935216377434,3,21,21,12,15,17,0.5815230700956311,15,Heart_hs_xl,NA,NA,NA,0.3511167928638039,0.6523547676105523,0.531859577711853,15,0.4388959910797548,0.5654909548283906,0.5148529693289363,15
SeuratV4 RPCA SH,0.04492881332430978,4.440892098500626e-16,0.7304365759749689,0.914512453183973,0.04040547897932023,SeuratV4 RPCA,SH,0.6649313748925457,0.8569112669371762,0.2260273003057902,0.7267995169677853,1.5761964610441405e-15,0.6186673647758244,20,20,17,13,23,21,0.5254102777689695,0.99984930335138,0.5930313889874613,0.7547136241188147,0.4219956116352572,SeuratV4 RPCA,SH,0.3528453865116632,0.5873986031910017,0.7612034826804404,0.4959896676857489,0.9884064524006017,0.5493592850172135,2,14,19,16,14,16,0.5770825169206579,16,Heart_hs_xl,NA,NA,NA,0.34605666429251447,0.6590000411723766,0.5338226904204317,14,0.432570830365643,0.5737877256276257,0.5173009675228326,14
Harmony O2O,0.0858238586819539,4.440892098500626e-16,0.6601203794754744,0.9291726827387894,0.0926131182050174,Harmony,O2O,0.415204829144622,0.890938143521226,0.6328899164711731,0.4673673425307101,1.5761964610441405e-15,0.6016000579169327,20,18,22,23,15,22,0.5175926126539707,0.99977384796421,0.6376583845518374,0.7530364742615954,0.3350417090213147,Harmony,O2O,0.30993257691588316,0.654413563766587,0.7579633323682232,0.3428287822976485,0.982601441932236,0.5162845638370854,7,15,16,18,21,21,0.5504107614690243,17,Heart_hs_xl,NA,NA,NA,0.3535460078202471,0.6486206056905857,0.5305907665424503,7,0.44193250977530874,0.5608322951221796,0.5132723809834312,7
SeuratV4 RPCA O2O,0.04562505755840207,4.440892098500626e-16,0.7170152902043759,0.921619447517278,0.02452194781581695,SeuratV4 RPCA,O2O,0.6172659506824913,0.8734068353154667,0.10224436089361195,0.7223826455837297,1.5761964610441405e-15,0.5788249481188249,20,19,18,18,26,23,0.5125429155305028,0.9997452838059844,0.5814243878012051,0.7502677721845046,0.4090393738507103,SeuratV4 RPCA,O2O,0.2822137263398989,0.5699687332869059,0.7526143703414214,0.47316850853444264,0.9804039151056084,0.5194913346256672,10,16,20,19,16,20,0.5432247800229303,18,Heart_hs_xl,NA,NA,NA,0.3417563486191747,0.6506039466345814,0.5270649074284187,13,0.42719543577396824,0.5633186123417306,0.5088693417146257,12
unintegrated HE,0.1353660208745482,0,0.6070141944342425,0.9761611816009724,0.02159874415826834,unintegrated,HE,0.22659929004535867,1,0.07946335977320435,0.15307912615790337,0,0.3647854439941166,22,1,25,25,28,26,0.5040107718668878,0.999793585040846,0.6475751137679888,0.7676595375057687,0.592293441497326,unintegrated,HE,0.23537899357831188,0.6693052052283223,0.786214190651535,0.795952816173167,0.9841198747543888,0.621712801407834,4,9,13,22,6,8,0.5189418584423471,19,Heart_hs_xl,NA,NA,NA,0.3480280282136063,0.7022664899357635,0.5605711052469006,16,0.4350350352670079,0.6278847161594928,0.5507448438024989,16
unintegrated SH,0.1356728903177616,0,0.6062873702641122,0.97569608003933594,0.01749530690068035,unintegrated,SH,0.2240179887462467,0.9989204839270984,0.04748460642112804,0.15113239138294676,0,0.35538886761935495,22,2,26,26,29,28,0.5063091544434428,1,0.6494928139459257,0.7696194379293179,0.589766018145429,unintegrated,SH,0.2479952993979017,0.672184955482512,0.79000059765741,0.7915010045041064,1,0.6254204642604826,1,8,12,20,7,7,0.5174078256040315,20,Heart_hs_xl,NA,NA,NA,0.347030329504378,0.7030374848928231,0.560634622737445,21,0.4337879118804725,0.6287968561160289,0.5507932784218064,21
Scanorama SH,0.15214680161960584,6.661338147750939e-16,0.5745464506014695,0.8138385519816531,0.12445463673372248,Scanorama,SH,0.11129075631877752,0.6232438200095988,0.8810360445744105,0.04662431239332206,2.3642946915662107e-15,0.41554873332402725,19,23,29,28,7,25,0.49944868637248874,0.9996478398601284,0.6029898388189252,0.7421280401008832,0.4249887071590346,Scanorama,SH,0.2103367458865793,0.6023528951931777,0.7368889088756002,0.501261715824959,0.9729072585117166,0.512710066445079,13,20,18,24,13,22,0.47384553319665834,21,Heart_hs_xl,NA,NA,NA,0.3329972881872903,0.653840622462292,0.5255032887522912,22,0.41624661023411275,0.5673888181128329,0.5069319349613448,22
LIGER UINMF O2O,0.03325772743225932,0.03642511738080634,0.717608109297011,0.7624359909297944,0.12345285762155,LIGER UINMF,O2O,0.6193713356667068,0.5039367795246119,0.8732290171653315,0.8008391754285273,0.1292829004517554,0.6993440769462944,6,26,11,17,8,16,0.5241469804062797,0.9977825146485926,0.3663302820415521,0.5754061352975226,0.2513399072178657,LIGER UINMF,O2O,0.3459108813377399,0.2469686559742749,0.4147924488742869,0.19539615779874572,0.8294021651580422,0.30076703599626187,23,25,25,17,25,25,0.46019785237627486,22,Heart_hs_xl,NA,NA,NA,0.3346359605322842,0.5430011639223625,0.45965508256633125,18,0.4091886713201537,0.42930582624080504,0.4212589642725445,18
Scanorama HE,0.1519587458272038,6.661338147750939e-16,0.5675008815119539,0.807060074820068,0.08830738696539098,Scanorama,HE,0.08626856059228198,0.607510750827931,0.5993346532445387,0.04781731078008691,2.3642946915662107e-15,0.33523281886120965,19,24,28,29,18,29,0.5017240244196728,0.9997716756049436,0.6717640579366564,0.7493670165064641,0.4023354093079848,Scanorama,HE,0.2228265554331037,0.7056289845759575,0.7508741658040206,0.4613601236993999,0.9824343157831932,0.5351724573781205,8,17,9,23,17,19,0.45519660197135614,23,Heart_hs_xl,NA,NA,NA,0.32296541782492344,0.6649924367551443,0.5281816291830559,20,0.4037067722811542,0.5812976270426945,0.5102612851380783,20
unintegrated O2O,0.1456558036115958,0,0.5432100035030993,0.9649976286629668,0.0114021956087823,unintegrated,O2O,0,0.9740890252338356,0,0.08780225247769462,0,0.2654728194278826,22,4,27,30,30,30,0.49514961801469326,0.9996930604256056,0.6470125734959454,0.7654227402158472,0.48263594787863834,unintegrated,O2O,0.1867382546281893,0.66846045613248,0.7818928359400831,0.602801752135874,0.976386212975086,0.5599733247091565,12,12,14,25,9,15,0.442173122596647,24,Heart_hs_xl,NA,NA,NA,0.3330531262772888,0.677982788006146,0.5400109233146031,19,0.416316407846611,0.597555219901281,0.525059695079413,19
Scanorama O2O,0.15949632707546382,6.661338147750939e-16,0.5916755244127605,0.8371082154571765,0.0889354039710305,Scanorama,O2O,0.17212431455575755,0.6772534768347795,0.604228891821507,0,2.3642946915662107e-15,0.363401670803011,19,22,30,27,17,27,0.4889814825728536,1,0.6172943095860131,0.7423692223811578,0.3732355775655642,Scanorama,O2O,0.1528800606683567,0.623833470624884,0.7373548581987147,0.410103585920965,1,0.4810429938532301,1,19,17,26,20,24,0.4339864646331425,25,Heart_hs_xl,NA,NA,NA,0.3354430941832864,0.6443761184211177,0.5208029087259852,25,0.4193038677291079,0.5554701480263972,0.5010036359074814,25
LIGER UINMF SH,0.02909163596116855,0.04507366452648265,0.645486580544019,0.7439438095066204,0.11811732417820886,LIGER UINMF,SH,0.3632331890353863,0.4610158161997589,0.8316483380235103,0.8272682491658624,0.15997900632829964,0.6207913981061295,5,27,8,24,9,20,0.5060413659485263,0.9958288686032224,0.34204227264794,0.5685638835245137,0.23316740034838648,LIGER UINMF,SH,0.2465253519743104,0.2104961134831632,0.4015736395215314,0.1633870454049279,0.6791022837287598,0.25549553759598326,25,26,26,21,27,26,0.40161388180004176,26,Heart_hs_xl,NA,NA,NA,0.31634260294329997,0.5291287582145178,0.4440142961060306,26,0.38415983754750427,0.41245373061734164,0.40113617338940666,26
LIGER UINMF HE,0.02673432053687592,0.04725068483136052,0.7113546444290318,0.637644954379363,0.13782424504004254,LIGER UINMF,HE,0.5971622820179124,0.2142926655890195,0.9852275746510738,0.8422227127447609,0.16770585855541925,0.6597263087506917,4,28,7,19,2,17,0.4611304719230302,0.9970447635710836,0.31018771710378285,0.5390362196367088,0.24904505846188327,LIGER UINMF,HE,0,0.16266112578238792,0.34452801002498745,0.1913540037753829,0.7726447500998247,0.17463578489568954,24,27,27,30,26,27,0.3686719944376904,27,Heart_hs_xl,NA,NA,NA,0.3121617698433348,0.5112888461392978,0.43163801562091264,27,0.3783895410963284,0.3898498667813513,0.38526573650734214,27
LIGER O2O,0.01414657522207725,0.28174737148938833,0.7225250072677362,0.7680633571021825,0.1084806799647786,LIGER,O2O,0.6368335990875247,0.5169980821137108,0.7565484037249801,0.9220775242437756,1,0.7081144022924978,1,25,4,16,11,14,0.465365104199157,0.9870016793972696,0.21369870192574503,0.36070341185222393,0.17843014840235097,LIGER,O2O,0.02324478804098807,0.01776659577071566,0,0.06697267273452792,0,0.02699601413655791,28,30,29,29,28,30,0.29944336939893385,28,Heart_hs_xl,NA,NA,NA,0.37899259820923253,0.44103980915534924,0.41622092477690253,28,0.40330390488919365,0.30454934159486924,0.344051166912599,28
LIGER SH,0.01993941262309178,0.22591975174612777,0.7298772610399917,0.5453185352415819,0.13578591868165368,LIGER,SH,0.6629449792447367,0,0.969342566114531,0.8853286127323055,0.8018522073581679,0.6294040395228933,3,30,5,14,4,19,0.47277204919981713,0.9888715569291092,0.257889133356115,0.4165131017704106,0.1404078083773694,LIGER,SH,0.06390306846411815,0.08412598166870633,0.1078208863893485,0,0.14385531708202834,0.06396248413054324,27,28,28,28,30,29,0.29013910628748324,29,Heart_hs_xl,NA,NA,NA,0.33136817586648937,0.4552907299265643,0.4057217083025343,30,0.35773028189657974,0.32189552317592807,0.33622942666418876,30
LIGER HE,0.02264569936683431,0.24334131672227863,0.6976323851206084,0.6121312490311126,0.10290563494072202,LIGER,HE,0.5484279563924571,0.15507451352389656,0.7131011719142953,0.8681603262457833,0.8636862002861445,0.5711909920191081,2,29,6,22,13,24,0.48520554034222513,0.9906653335887824,0.20186746627561697,0.4131956307146618,0.16973508041163343,LIGER,HE,0.1321531188508125,0,0.10141173646706444,0.05165715184433049,0.2818559645884742,0.07130550179055185,26,29,30,27,29,28,0.27125969788197435,30,Heart_hs_xl,NA,NA,NA,0.33573125703631124,0.45213381026658395,0.4055727889744749,29,0.35882874211481935,0.31750092943603436,0.33403205450754836,29
scANVI O2O,0.05418707932881461,0.05879167291692677,0.7854575751954616,0.9438783541660302,0.20464039888771848,scANVI,O2O,0.8504273134783374,0.9032367748483856,0.2476794565273291,0.8128177176777163,0.17019427271091342,0.7035403156329422,12,6,12,13,21,13,0.6847480237483978,1,0.9501744872264988,0.9142205466765096,0.706242156986229,scANVI,O2O,0.9786217852424978,0.9899492382302044,0.99636955834261,0.978547710063548,1,0.9858720729697152,1,2,2,3,2,2,0.8729393700350059,1,Heart_hs_mf_mm,NA,NA,NA,0.4093910160989903,0.8510770429275271,0.6744026321961123,3,0.49704085189450625,0.8138463036594088,0.6871241229534477,1
scANVI SH,0.05525631236154416,0.06804188411986067,0.7888846605247329,0.9229138925905862,0.19909744577677835,scANVI,SH,0.8619171083245891,0.8324606487855765,0.2215815695155538,0.8084152659313372,0.19697243516140583,0.6810936481392641,11,16,14,10,22,15,0.6902798414230347,1,0.9581541516183892,0.9164267414103806,0.7181334356672028,scANVI,SH,1,1,1,1,1,1,1,1,1,1,1,1,0.8724374592557056,2,Heart_hs_mf_mm,NA,NA,NA,0.4068388390747004,0.8565988340238014,0.676694836044161,2,0.4915380778134104,0.8207485425297518,0.6890643566432153,3
scANVI HE,0.05660807469044598,0.07855347204080088,0.7856589588976548,0.9222523838724564,0.211666870590306,scANVI,HE,0.8511024812087163,0.8302273920783859,0.2807621943595572,0.8028495302653044,0.22740211971501825,0.691235399477991,10,17,15,12,19,14,0.6902362406253815,1,0.9007403749769723,0.893176838906901,0.679068072067687,scANVI,HE,0.9998315007343604,0.9276846540170802,0.9617407233899128,0.9295246937782554,1,0.9546953929799024,1,3,5,2,3,3,0.8493113955791378,3,Heart_hs_mf_mm,NA,NA,NA,0.4109479520183329,0.8326443053153885,0.6639657639965661,4,0.4940465720127158,0.7908053816442354,0.6721018577916276,2
SeuratV4 CCA HE,0.06162937346933784,0.09959177907854178,0.8293210881700177,0.9555502863890808,0.27021207147806503,SeuratV4 CCA,HE,0.997486028652114,0.9426412758150507,0.5564105729891349,0.782174873851266,0.2883052916730033,0.8196781878268914,8,4,17,2,14,4,0.6839999258518219,1,0.9050091027005236,0.886703423463192,0.48453359843406574,SeuratV4 CCA,HE,0.9757306925794184,0.9330613169069554,0.9510882833620112,0.5785775801006727,1,0.8596144682372644,1,4,3,5,12,4,0.8436399560731151,4,Heart_hs_mf_mm,NA,NA,NA,0.44326091971700865,0.7920492100899207,0.6525338939407559,7,0.5291782048766254,0.7400615126124008,0.6557081895180906,7
SeuratV4 RPCA HE,0.05456877223264295,0.00230460293899659,0.8076764097214489,0.968445688109006,0.3322966331574553,SeuratV4 RPCA,HE,0.9249191413432376,0.9861762158599238,0.8487233245955629,0.8112461382936134,0.00667152679332978,0.8927662050230845,19,2,13,7,2,2,0.6689967662096024,1,0.7677367960535206,0.8347957902805596,0.4642982842866973,SeuratV4 RPCA,HE,0.9177496115428828,0.7601604047957242,0.8656707855547817,0.5420723532288904,1,0.7714132887805697,1,8,8,8,16,7,0.8199544552775756,5,Heart_hs_mf_mm,NA,NA,NA,0.4330584212319099,0.7471655273660759,0.6215226849124096,6,0.5407468758051384,0.6839569092075949,0.6266728958466123,6
SeuratV4 CCA SH,0.06068342432981057,0.09651977097660092,0.8300709357034016,0.9462456187332492,0.2589346496333278,SeuratV4 CCA,SH,1,0.9112286717464088,0.5033130859280978,0.7860697174576841,0.27941222640148716,0.8001528687830477,9,5,16,1,15,5,0.684360608458519,1,0.901770161612502,0.8824218017140719,0.4259744987034823,SeuratV4 CCA,SH,0.9771245834628108,0.928981718610166,0.94404258711383,0.4729348801404014,1,0.830770942331802,1,6,4,4,20,5,0.8185237129123003,6,Heart_hs_mf_mm,NA,NA,NA,0.4384908798752781,0.778905414097715,0.6427396004087402,5,0.5239836570999472,0.7236317676221438,0.6437725234132652,4
SeuratV4 RPCA O2O,0.05084585591151339,0.00202757345956172,0.8093795061421989,0.9725404048949272,0.3278306044161825,SeuratV4 RPCA,O2O,0.9306290162362456,1,0.8276959207643749,0.8265748449065579,0.00586956235801728,0.8962249454767945,20,1,11,6,4,1,0.6653542816638947,1,0.7468295378593229,0.8217462804478739,0.4726392443682131,SeuratV4 RPCA,O2O,0.9036728972603328,0.7338267319681997,0.8441969403960738,0.5571197420604501,1,0.7597040779212642,1,11,13,9,14,9,0.8143124249434763,7,Heart_hs_mf_mm,NA,NA,NA,0.4325247889648767,0.7413138688678609,0.6177982369066672,10,0.5401490928412055,0.6766423360848262,0.6220450387873779,10
SeuratV4 CCA O2O,0.06181574609432416,0.10163558054862354,0.8258195410160997,0.9332962067422224,0.2587525004986372,SeuratV4 CCA,O2O,0.9857465898644756,0.8675113927589202,0.5024554731283313,0.7814075046593006,0.2942218320180547,0.7842802401027569,7,9,18,3,16,7,0.6700433641672134,1,0.8987962599773285,0.8836888735057961,0.4157151012825982,SeuratV4 CCA,O2O,0.9217942849610176,0.9252359499419608,0.9461276388751076,0.4544265620737971,1,0.8118961089629708,1,5,6,7,21,6,0.8008497614188852,8,Heart_hs_mf_mm,NA,NA,NA,0.4362639149799814,0.7736487197865872,0.6386947978639449,11,0.5199209985878208,0.7170608997332341,0.6382049392750688,11
SeuratV4 RPCA SH,0.05073428824851916,0.00186984847093518,0.8059437933940846,0.9580736792864024,0.32820430929329525,SeuratV4 RPCA,SH,0.9191102967315644,0.9511602627284104,0.829455435496583,0.827034212731675,0.00541296895973855,0.8816900519220581,22,3,10,8,3,3,0.662085548043251,1,0.743550867344818,0.8158444408420776,0.4580715755366999,SeuratV4 RPCA,SH,0.8910405775713485,0.7296970925943393,0.83448506681068,0.530839149042993,1,0.7465154715048402,1,13,15,10,17,10,0.8005853036717274,9,Heart_hs_mf_mm,NA,NA,NA,0.42896518373864734,0.7359104863533694,0.6131323653074806,12,0.5357390175555754,0.6698881079417117,0.6162284717872573,12
Harmony O2O,0.09181766421936711,0.00565253818397126,0.787397522279723,0.9321350640081926,0.32649990464264245,Harmony,O2O,0.856931264173807,0.8635913691406238,0.8214305868094656,0.6578778410581513,0.0163633653791586,0.7999577652955119,16,10,19,11,5,6,0.6775256842374802,1,0.7527868574839607,0.8254816040498532,0.3765803721060175,Harmony,O2O,0.9507103944126966,0.7413302555994207,0.8503436663401901,0.3838261178823919,1,0.7315526085586748,1,10,11,6,23,12,0.7589146712534096,10,Heart_hs_mf_mm,NA,NA,NA,0.4287005386667794,0.7264749035754623,0.6073651576119892,1,0.5344625387874813,0.6580936294693279,0.6086411931965893,5
scVI O2O,0.00945768204638343,0.01591669892984104,0.817859804661104,0.9350355973791956,0.18417684848470472,scVI,O2O,0.9590604326894526,0.8733835841601574,0.15133091891773687,0.996986189051844,0.04607678033164011,0.7451902812047977,14,8,3,5,24,11,0.5640960037708282,1,0.8285645328740702,0.801495275811168,0.6659110361824755,scVI,O2O,0.5123510319902665,0.8367757938339513,0.8108725517061887,0.9057889327986172,1,0.7664470775822559,1,16,7,20,4,8,0.7579443590312727,11,Heart_hs_mf_mm,NA,NA,NA,0.3924893263002457,0.7720133697277084,0.6202037523567233,8,0.4866324831428469,0.7150167121596355,0.62366302055292,8
Harmony HE,0.09258672949696868,0.00468834852319899,0.7765598657932125,0.9248371703774628,0.31101388110879424,Harmony,HE,0.820596467201994,0.8389536441152168,0.7485177397477816,0.6547112976847079,0.0135721612863206,0.7656947871874251,18,13,20,17,7,9,0.6489473134279251,1,0.7539929919922586,0.8287661031647185,0.4663613272765483,Harmony,HE,0.8402666696696702,0.7428494386138782,0.8557485303021967,0.5457941562037428,1,0.7461646986973719,1,9,10,14,15,11,0.7539767340933932,12,Heart_hs_mf_mm,NA,NA,NA,0.42193719905992744,0.7396135471722901,0.6125430079273451,9,0.5262494116941095,0.6745169339653626,0.6152099250568613,9
Harmony SH,0.09416238286172528,0.00544743503722799,0.7772650362133778,0.9242687479622644,0.3077663273244674,Harmony,SH,0.822960652123257,0.8370346472275442,0.7332272817497254,0.6482237148145334,0.01576961835413322,0.760361573978765,17,15,21,16,8,10,0.6508616805076599,1,0.7664721020747128,0.8379642518759489,0.3746478970508717,Harmony,SH,0.8476649161344635,0.7585674633800914,0.87088470198253,0.3803398641084997,1,0.7143642364013961,1,7,9,13,24,15,0.7327631714323437,13,Heart_hs_mf_mm,NA,NA,NA,0.42178198587981264,0.7259891863018387,0.6043063061330283,13,0.5258656235904587,0.6574864828772984,0.6048381391625626,13
fastMNN SH,0.09972354203579326,0.00144350956798011,0.7790455636966034,0.9247803048480372,0.18205553038845457,fastMNN,SH,0.8289301257531195,0.8387616658063642,0.1413431165885591,0.6253262414216025,0.00417877309633226,0.6085902873924114,24,14,24,15,25,19,0.6513857164084045,1,0.7332380586634933,0.809720743238073,0.4426229225855758,fastMNN,SH,0.8496901007456851,0.7167076261026389,0.8244081109837436,0.5029692293206172,1,0.7234437667881712,1,15,16,12,18,13,0.6775023750298673,14,Heart_hs_mf_mm,NA,NA,NA,0.3974096901073737,0.7273934881791094,0.5953999689504151,14,0.4964012352422221,0.6592418602238868,0.5941056102312209,14
fastMNN HE,0.099405717579534,0.00186041318256691,0.7758734221330932,0.928257120788144,0.17959096627948734,fastMNN,HE,0.8182950664283057,0.8504994136320666,0.12973920900324057,0.6266348493580116,0.0053856550228835,0.6062921346054062,23,11,23,18,26,20,0.6514603646159571,1,0.7437517580116393,0.8179019676136664,0.42679629416926346,fastMNN,HE,0.8499785855631874,0.7299501238165607,0.8378708653479037,0.47441742840736,1,0.723054250783753,1,12,14,11,19,14,0.6763494043124143,15,Heart_hs_mf_mm,NA,NA,NA,0.39699752799256505,0.7279820768821053,0.5955882573262892,15,0.49578180669506466,0.6599775961026316,0.5942992803396049,15
fastMNN O2O,0.09856273323310034,0.00191810212338894,0.7750670529558241,0.9261517457070438,0.1862628244535145,fastMNN,O2O,0.8155915981667985,0.8433916569356588,0.16115231990267906,0.6301057465287183,0.00555265702911221,0.6125603303834637,21,12,22,19,23,18,0.6489125686143921,1,0.7325085643400526,0.8097736957812388,0.39946031572205376,fastMNN,O2O,0.8401323951636928,0.7157887937686912,0.8244952479511303,0.4251023504347594,1,0.7013796968295685,1,14,17,15,22,16,0.6658519502511265,16,Heart_hs_mf_mm,NA,NA,NA,0.39759249169457433,0.7181310288915475,0.5899156140127582,17,0.49651108908737074,0.6476637861144343,0.5872027073036089,17
scVI SH,0.00945081247832723,0.02191836632870725,0.8035511925896432,0.935780628309361,0.16998931761403824,scVI,SH,0.9110887595503316,0.8758988122686553,0.08453176506815148,0.9970144737577592,0.06345082953493719,0.7171334526612243,13,7,2,9,27,12,0.5630801171064377,1,0.7482483973883635,0.7179185112117996,0.4937233426254179,scVI,SH,0.5084250451703828,0.7356138521290029,0.6733413704676944,0.5951562056735593,1,0.6281341183601599,1,23,12,21,11,21,0.6637338520805856,17,Heart_hs_mf_mm,NA,NA,NA,0.38813806346401536,0.7045940736664037,0.5780116695854484,16,0.4796929877478424,0.6307425920830046,0.5703227503489398,16
Scanorama O2O,0.16405533481937354,2.220446049250313e-16,0.6828805925430924,0.8016359439144845,0.3145601091819249,Scanorama,O2O,0.5065232745106787,0.4230256936712136,0.7652144459472053,0.3604470197567328,6.42790350565402e-16,0.5138026084714576,25,24,25,25,6,25,0.6372724622488022,1,0.5430888246889036,0.7348593138234663,0.5287750470973855,Scanorama,O2O,0.7951481407431809,0.4772057426236797,0.7012185993300365,0.6583907279880178,1,0.6579908026712287,1,18,20,16,9,18,0.6003155249913202,18,Heart_hs_mf_mm,NA,NA,NA,0.39262639609177513,0.6887991295717115,0.570330036179737,18,0.4907829951147188,0.6109989119646394,0.5629125452246712,18
Scanorama SH,0.16481892961739456,2.220446049250313e-16,0.6564347773418164,0.8047270865710322,0.29801732619219823,Scanorama,SH,0.4178598879853287,0.4334614065823531,0.687326058171726,0.35730300049323155,6.42790350565402e-16,0.4739875883081599,25,23,26,27,12,27,0.5897537395358086,1,0.5403308698946403,0.732011115046735,0.5140537332422436,Scanorama,SH,0.6115076957917364,0.47373196913551424,0.6965316968871912,0.631832953879897,1,0.6034010789235847,1,21,22,19,10,22,0.5516356826774148,19,Heart_hs_mf_mm,NA,NA,NA,0.38479962394448836,0.6752298915438855,0.5590577845041267,20,0.48099952993061035,0.5940373644298569,0.5488222306301582,20
Scanorama HE,0.1648371117346912,2.220446049250313e-16,0.6575464856978509,0.8200297695461102,0.3023298789794333,Scanorama,HE,0.4215870496146587,0.4851233400618152,0.7076308511441652,0.35722813758533845,6.42790350565402e-16,0.49289234460149434,25,22,27,26,11,26,0.5915428847074509,1,0.5429963239105393,0.7360483348653003,0.4745040253228677,Scanorama,HE,0.6184220107531795,0.47708923355247046,0.703175213338544,0.5604838732679064,1,0.5897925827280251,1,17,21,18,13,23,0.5510324874774128,20,Heart_hs_mf_mm,NA,NA,NA,0.38894864919161715,0.6690183137612317,0.5569904479333858,23,0.4861858114895214,0.5862728922015396,0.5462380599167322,23
scVI HE,0.00872571122516523,0.01553807144660768,0.82505697601297745,0.9161587886569031,0.22074635506771,scVI,HE,0.983189981376216,0.8096553844644676,0.3235111325652184,1,0.04498070284413061,0.7790891246014755,15,18,1,4,18,8,0.5579303056001663,1,0.16421787348763836,0.30873353433730955,0.6363726592805748,scVI,HE,0.4885231281483341,0,0,0.8525006496331033,1,0.33525594444535933,1,30,30,24,7,26,0.5127892165078058,21,Heart_hs_mf_mm,NA,NA,NA,0.3972451804818727,0.5334508745411378,0.47896859691743177,19,0.49267195774068895,0.4168135931764223,0.44715693900212894,19
unintegrated O2O,0.2479449110296581,0,0.5317988277040663,0.8989448902766137,0.15203554189471047,unintegrated,O2O,0,0.7515411783155815,0,0.01504073320835888,0,0.1916454778809851,26,20,28,30,30,29,0.6182124614715576,1,0.5259323181091344,0.7332366247285097,0.6086066503589451,unintegrated,O2O,0.7214890265315319,0.4555963174691035,0.698548355404204,0.8024097813803935,1,0.6695108701963083,1,20,24,17,8,17,0.478364713270179,22,Heart_hs_mf_mm,NA,NA,NA,0.36614483418100974,0.6971976109336294,0.5647765002325815,21,0.4576810427262622,0.6214970136670368,0.5559706252907269,21
unintegrated SH,0.2515978866235591,0,0.5388787443606524,0.8997271588554925,0.15645630498533725,unintegrated,SH,0.02373643551210599,0.7541821209104798,0.02081427956106884,0,0,0.19968320899591369,26,19,30,28,29,28,0.560579352080822,1,0.5249369563204133,0.7314969856830635,0.6502211917761981,unintegrated,SH,0.4987606102739141,0.4543426125860559,0.6956856624775789,0.8774838951074376,1,0.6315681951112466,1,22,25,22,5,19,0.4588142006651134,23,Heart_hs_mf_mm,NA,NA,NA,0.3693320189650082,0.6934468971720994,0.5638009458892629,25,0.4616650237062603,0.6168086214651243,0.5547511823615787,25
