task,integration_method,homology_method,NMI_cluster/label,ARI_cluster/label,cLISI,silhouette,type,acc_loss_avg,acc_loss_avg_scaled,cLISI_scaled,silhouette_scaled,NMI_scaled,ARI_scaled,bio_score
hs_mf_mm_xl_dr,LIGER_UINMF,stronger homology,0.44115724776754006,0.3055748213046628,0.9770160438033548,0.4328784628222001,LIGER_UINMF stronger homology,0.19802031166728473,0.743117569356817,0.7737436857523627,0,0.424933208149199,0.2990963569374715,0.6693827180274053
hs_mf,LIGER,one2one only,0.6058772049104392,0.30826197827649976,0.9988862127533076,0.529559600200103,LIGER one2one only,0.12988888100767487,0.7278124330844123,0.97580382429812,0.2736537043979632,0.22935404937833556,0,0.6561905253712509
hs_mf,LIGER,stronger homology,0.6030085970926501,0.3786405886858141,0.998938397702222,0.5493501954050954,LIGER stronger homology,0.146936045470841,0.6917633002784888,0.9769375023831202,0.3699663194963586,0.2205121426270759,0.12954251535457798,0.6382585642158476
hs_mf_mm,LIGER,one2one only,0.5966096942692332,0.4930540572786043,0.9966459214196218,0.5296919147008311,LIGER one2one only,0.15498110752213243,0.5398647855700274,0.9395674628990971,0.41145541248557155,0.4941434087230945,0.4490154495920894,0.5466009151410145
hs_mf_mm,LIGER,higher expression,0.593915335615174,0.6266316353913215,0.9943179119035942,0.4998088683938789,LIGER higher expression,0.17052117954400803,0.493156956610562,0.8976222555710289,0.28063563928136975,0.4891322388154507,0.6451614562758978,0.510153144785637
hs_mf_mm,LIGER_UINMF,one2one only,0.5841403986059742,0.36135919229785257,0.9973402351107986,0.46271656812051026,LIGER_UINMF one2one only,0.1655690801649838,0.5080411740363331,0.952077348072084,0.11825573130474104,0.4709520792751392,0.2556340286103408,0.49627889859218177
hs_mf_mm_xl,LIGER,higher expression,0.4007518493010993,0.2525158937909619,0.9663373344906204,0.4284735326161954,LIGER higher expression,0.4020931082361381,0.34703240045276307,0.4096716933789002,0.038321219968442746,0.07547323839610992,0.11971909739953694,0.3097851828193599
hs_mf_mm,LIGER,stronger homology,0.5788576251968771,0.5235533041856454,0.997700441757372,0.542750536563379,LIGER stronger homology,0.27875765857665413,0.16783729639823908,0.9585674171063601,0.46862247413217856,0.4611267818535486,0.49380070151986083,0.25337570584918867
hs_mf_mm_xl_dr,LIGER,higher expression,0.30861018976648213,0.2062680122951172,0.9432710480746614,0.4418452036346438,LIGER higher expression,0.5244440672324717,0.24599313391263466,0.4338058008743299,0.08024727064203305,0.14858101321515882,0.11292064204732505,0.2355722434690501
hs_mf_mm_xl_dr,LIGER,stronger homology,0.35505902699785447,0.2281186198412591,0.9448548358815044,0.4378595894433554,LIGER stronger homology,0.5433555294847917,0.2171920744452237,0.44976044734939313,0.044578272577631126,0.2454238878485683,0.15388512898694637,0.21843604639430592
hs_mf_mm,LIGER_UINMF,stronger homology,0.5934673641681419,0.35284217960879866,0.9978906451177084,0.43570351490931136,LIGER_UINMF stronger homology,0.3345984829542762,0,0.9619944303246812,0,0.488299067985922,0.24312760312010198,0.08467105507153527
hs_mf,LIGER,higher expression,0.5833187369593137,0.393986158853551,0.9946905090485288,0.532937900109493,LIGER higher expression,0.47406188266968186,0,0.8846553717230562,0.2900944882899985,0.15982210819131754,0.15778836658007647,0.07461801673922244
hs_mf_mm_xl_dr,LIGER,one2one only,0.31965964154505117,0.24639351400096612,0.9511130912258317,0.441551970471832,LIGER one2one only,0.6859690233398206,0,0.5128044050929793,0.07762299929644847,0.1716184181781646,0.1881460373643183,0.04750959299659554
hs_mf_mm_xl,LIGER,one2one only,0.36790702003468223,0.23059596987635275,0.961123079901052,0.4533776459026526,LIGER one2one only,0.607661084541907,0.00667847246411879,0.3176421013176251,0.1755054237006212,0,0.08264932624967411,0.03413262053469105
hs_mf_mm_xl,LIGER,stronger homology,0.38060566750544694,0.27295705665805736,0.96498701119649,0.4215167841174214,LIGER stronger homology,0.6116947681763986,0,0.3858390055469191,0,0.029179876080194123,0.15428806910181916,0.028465347536446618
